time,low,high,open,close,volume
2021-03-18 20:00:00,1478.94,1496.82,1486.3,1489.29,1546.62400503
2021-03-18 21:00:00,1487.41,1501.97,1488.56,1497.45,479.43012286
2021-03-18 22:00:00,1492.6,1507.6,1496.68,1494.03,393.21345676
2021-03-18 23:00:00,1490.85,1504.41,1494.75,1492.14,299.56552831
2021-03-19 00:00:00,1458.42,1492.62,1491.34,1479.57,1884.35128647
2021-03-19 01:00:00,1475.17,1494.92,1479.81,1492.41,172.7671393
2021-03-19 02:00:00,1488.98,1501.75,1492.55,1492.41,208.22660724
2021-03-19 03:00:00,1488.58,1498.41,1491.17,1495.86,162.98487082
2021-03-19 04:00:00,1490.39,1503.76,1495.94,1498.63,219.35534244
2021-03-19 05:00:00,1496.02,1516.04,1498.65,1514.48,378.13874967
2021-03-19 06:00:00,1505.1,1518.9,1514.91,1509.21,174.32466821
2021-03-19 07:00:00,1502.66,1512.95,1509.21,1505.25,537.09952187
2021-03-19 08:00:00,1497.33,1522.9,1506.56,1517.49,1194.91488865
2021-03-19 09:00:00,1511.59,1526.0,1516.79,1515.81,696.0289206
2021-03-19 10:00:00,1514.43,1525.94,1516.47,1522.84,543.51842002
2021-03-19 11:00:00,1518.97,1531.0,1523.05,1528.71,1074.96941355
2021-03-19 12:00:00,1520.69,1535.0,1529.1,1523.64,876.28398811
2021-03-19 13:00:00,1514.98,1526.58,1522.88,1522.81,601.71862311
2021-03-19 14:00:00,1515.0,1531.54,1522.96,1529.27,462.26682072
2021-03-19 15:00:00,1523.9,1532.0,1529.92,1530.46,914.47037876
2021-03-19 16:00:00,1524.0,1536.0,1530.17,1531.8,751.11741423
2021-03-19 17:00:00,1526.17,1538.09,1531.15,1530.42,1041.4580457
2021-03-19 18:00:00,1522.52,1533.85,1530.1,1532.87,385.56218966
2021-03-19 19:00:00,1530.72,1536.0,1531.92,1535.73,316.63550555
2021-03-19 20:00:00,1523.28,1545.8,1535.35,1527.16,1000.69323533
2021-03-19 21:00:00,1525.0,1538.5,1527.55,1534.37,349.83119008
2021-03-19 22:00:00,1525.0,1534.98,1534.28,1531.01,363.65571879
2021-03-19 23:00:00,1516.84,1530.97,1530.97,1522.82,358.36334223
2021-03-20 00:00:00,1515.0,1528.8,1522.37,1527.94,272.40944032
2021-03-20 01:00:00,1524.32,1536.57,1526.33,1532.39,262.65127222
2021-03-20 02:00:00,1532.28,1543.0,1532.53,1535.61,148.42758668
2021-03-20 03:00:00,1535.04,1541.54,1535.67,1540.8,55.23532657
2021-03-20 04:00:00,1536.99,1549.19,1539.54,1537.33,811.36833229
2021-03-20 05:00:00,1530.5,1538.68,1537.12,1532.52,282.73109039
2021-03-20 06:00:00,1531.73,1538.29,1532.81,1533.34,238.74832862
2021-03-20 07:00:00,1529.63,1538.3,1533.32,1534.37,548.8419814
2021-03-20 08:00:00,1534.68,1540.81,1536.35,1539.51,837.24601864
2021-03-20 09:00:00,1537.27,1544.84,1539.5,1544.68,394.40524144
2021-03-20 10:00:00,1537.62,1545.45,1544.1,1544.18,445.90691882
2021-03-20 11:00:00,1540.77,1551.86,1545.23,1547.68,477.41111226
2021-03-20 12:00:00,1542.5,1550.59,1548.72,1548.4,344.42551645
2021-03-20 13:00:00,1544.11,1565.0,1549.17,1550.9,2076.22814579
2021-03-20 14:00:00,1543.7,1556.45,1549.91,1555.0,834.67543812
2021-03-20 15:00:00,1554.06,1560.9,1556.02,1559.78,498.00253831
2021-03-20 16:00:00,1544.64,1561.61,1560.11,1548.1,713.05476378
